,Bound
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,0
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,0
472,0
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,0
501,1
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,1
559,0
560,1
561,1
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,1
594,0
595,0
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,1
610,0
611,1
612,1
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,0
638,0
639,1
640,1
641,0
642,0
643,1
644,1
645,0
646,1
647,0
648,0
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,1
745,0
746,0
747,1
748,1
749,1
750,1
751,1
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,1
761,0
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,0
771,1
772,1
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,0
781,0
782,0
783,1
784,0
785,0
786,1
787,0
788,0
789,1
790,1
791,0
792,0
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,1
808,1
809,1
810,1
811,0
812,1
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,0
821,1
822,0
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,0
833,1
834,1
835,0
836,0
837,0
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,1
847,0
848,0
849,1
850,1
851,1
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,0
870,0
871,1
872,1
873,1
874,0
875,1
876,0
877,1
878,1
879,1
880,0
881,1
882,1
883,0
884,1
885,0
886,1
887,1
888,1
889,1
890,0
891,1
892,1
893,0
894,0
895,0
896,1
897,0
898,1
899,1
900,1
901,0
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,0
925,0
926,0
927,1
928,1
929,1
930,0
931,0
932,1
933,1
934,0
935,0
936,1
937,0
938,1
939,0
940,1
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,1
954,1
955,1
956,1
957,1
958,0
959,1
960,0
961,1
962,1
963,1
964,1
965,1
966,0
967,1
968,1
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,1
977,1
978,0
979,1
980,0
981,0
982,1
983,1
984,0
985,0
986,1
987,1
988,0
989,0
990,1
991,0
992,1
993,0
994,0
995,1
996,1
997,0
998,1
999,0
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
1060,0
1061,0
1062,1
1063,0
1064,1
1065,0
1066,1
1067,1
1068,1
1069,0
1070,1
1071,1
1072,1
1073,0
1074,1
1075,1
1076,1
1077,1
1078,0
1079,0
1080,1
1081,1
1082,1
1083,0
1084,0
1085,0
1086,1
1087,1
1088,0
1089,1
1090,1
1091,0
1092,0
1093,1
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,1
1106,1
1107,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,1
1114,1
1115,1
1116,0
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,1
1124,0
1125,0
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,0
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,1
1174,0
1175,1
1176,0
1177,0
1178,1
1179,1
1180,1
1181,1
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,0
1189,0
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,1
1197,0
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,1
1210,1
1211,1
1212,0
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,1
1229,0
1230,0
